,Group,Word,Validity,Condition,Participant_1,Participant_2
0,2,real,1,Type_0,Mads,ML
1,2,sea,1,Type_0,Mads,ML
2,2,seal,1,Type_0,Mads,ML
3,2,heal,1,Type_0,Mads,ML
4,2,heals,1,Type_0,Mads,ML
5,2,case,1,Type_0,Mads,ML
6,2,hear,1,Type_0,Mads,ML
7,2,hears,1,Type_0,Mads,ML
8,2,chase,1,Type_0,Mads,ML
9,2,clear,1,Type_0,Mads,ML
10,2,clears,1,Type_0,Mads,ML
11,2,has,1,Type_0,Mads,ML
12,2,ale,1,Type_0,Mads,ML
13,2,ales,1,Type_0,Mads,ML
14,2,cale,0,Type_0,Mads,ML
15,2,real,1,Type_0,Mads,ML
16,2,ace,1,Type_0,Mads,ML
17,2,aces,1,Type_0,Mads,ML
18,2,lace,1,Type_0,Mads,ML
19,2,laces,1,Type_0,Mads,ML
20,2,share,1,Type_0,Mads,ML
21,2,scare,1,Type_0,Mads,ML
22,2,scar,1,Type_0,Mads,ML
23,2,car,1,Type_0,Mads,ML
24,2,cars,1,Type_0,Mads,ML
25,2,hals,0,Type_0,Mads,ML
26,2,carl,1,Type_0,Mads,ML
27,2,leach,1,Type_0,Mads,ML
28,2,sear,1,Type_0,Mads,ML
29,2,race,1,Type_0,Mads,ML
30,2,races,1,Type_0,Mads,ML
31,2,lace,1,Type_0,Mads,ML
32,2,laser,1,Type_0,Mads,ML
33,2,shea,1,Type_0,Mads,ML
34,2,sec,1,Type_0,Mads,ML
35,2,rec,1,Type_0,Mads,ML
36,2,real,1,Type_0,Mads,ML
37,2,char,1,Type_0,Mads,ML
38,2,crash,1,Type_0,Mads,ML
39,2,lash,1,Type_0,Mads,ML
40,2,rash,1,Type_0,Mads,ML
41,2,a,0,Type_0,Mads,ML
42,2,cash,1,Type_0,Mads,ML
43,2,sea,1,Type_0,Mads,ML
44,2,acre,1,Type_0,Mads,ML
45,2,,0,Type_0,Mads,ML
