,Group,Word,Validity,Condition,Participant_1,Participant_2
0,7,chase,1,Type_1,1,tsls2
1,7,hase,0,Type_1,1,tsls2
2,7,hare,1,Type_1,1,tsls2
3,7,harle,0,Type_1,1,tsls2
4,7,chear,1,Type_1,1,tsls2
5,7,sea,1,Type_1,1,tsls2
6,7,race,1,Type_1,1,tsls2
7,7,races,1,Type_1,1,tsls2
8,7,hear,1,Type_1,1,tsls2
9,7,hears,1,Type_1,1,tsls2
10,7,her,1,Type_1,1,tsls2
11,7,he,1,Type_1,1,tsls2
12,7,cale,0,Type_1,1,tsls2
13,7,car,1,Type_1,1,tsls2
14,7,cars,1,Type_1,1,tsls2
15,7,share,1,Type_1,1,tsls2
16,7,res,1,Type_1,1,tsls2
17,7,rec,1,Type_1,1,tsls2
18,7,recs,1,Type_1,1,tsls2
19,7,sec,1,Type_1,1,tsls2
20,7,lace,1,Type_1,1,tsls2
21,7,laces,1,Type_1,1,tsls2
22,7,ear,1,Type_1,1,tsls2
23,7,ears,1,Type_1,1,tsls2
24,7,hears,1,Type_1,1,tsls2
25,7,seal,1,Type_1,1,tsls2
26,7,searl,0,Type_1,1,tsls2
27,7,hale,1,Type_1,1,tsls2
28,7,ace,1,Type_1,1,tsls2
29,7,aces,1,Type_1,1,tsls2
30,7,heal,1,Type_1,1,tsls2
31,7,heals,1,Type_1,1,tsls2
32,7,ale,1,Type_1,1,tsls2
33,7,ales,1,Type_1,1,tsls2
34,7,case,1,Type_1,1,tsls2
35,7,care,1,Type_1,1,tsls2
36,7,cares,1,Type_1,1,tsls2
37,7,leash,1,Type_1,1,tsls2
38,7,lare,0,Type_1,1,tsls2
39,7,schal,0,Type_1,1,tsls2
40,7,scale,1,Type_1,1,tsls2
41,7,scar,1,Type_1,1,tsls2
42,7,sale,1,Type_1,1,tsls2
43,7,sal,1,Type_1,1,tsls2
44,7,real,1,Type_1,1,tsls2
45,7,hasel,0,Type_1,1,tsls2
46,7,ceal,0,Type_1,1,tsls2
