,Group,Word,Validity,Condition,Participant_1,Participant_2
0,12,case,1,Type_1,Karo,CBC
1,12,hase,0,Type_1,Karo,CBC
2,12,lace,1,Type_1,Karo,CBC
3,12,laces,1,Type_1,Karo,CBC
4,12,scar,1,Type_1,Karo,CBC
5,12,helse,0,Type_1,Karo,CBC
6,12,hals,0,Type_1,Karo,CBC
7,12,seal,1,Type_1,Karo,CBC
8,12,heal,1,Type_1,Karo,CBC
9,12,real,1,Type_1,Karo,CBC
10,12,heals,1,Type_1,Karo,CBC
11,12,leas,1,Type_1,Karo,CBC
12,12,arse,1,Type_1,Karo,CBC
13,12,as,1,Type_1,Karo,CBC
14,12,acre,1,Type_1,Karo,CBC
15,12,acres,1,Type_1,Karo,CBC
16,12,as,1,Type_1,Karo,CBC
17,12,has,1,Type_1,Karo,CBC
18,12,are,1,Type_1,Karo,CBC
19,12,er,1,Type_1,Karo,CBC
20,12,her,1,Type_1,Karo,CBC
21,12,hers,1,Type_1,Karo,CBC
22,12,sea,1,Type_1,Karo,CBC
23,12,car,1,Type_1,Karo,CBC
24,12,cars,1,Type_1,Karo,CBC
25,12,sheal,1,Type_1,Karo,CBC
26,12,she,1,Type_1,Karo,CBC
27,12,shal,0,Type_1,Karo,CBC
28,12,laser,1,Type_1,Karo,CBC
29,12,race,1,Type_1,Karo,CBC
30,12,races,1,Type_1,Karo,CBC
31,12,lare,0,Type_1,Karo,CBC
32,12,sel,1,Type_1,Karo,CBC
33,12,ras,1,Type_1,Karo,CBC
34,12,shea,1,Type_1,Karo,CBC
35,12,ear,1,Type_1,Karo,CBC
36,12,ears,1,Type_1,Karo,CBC
37,12,hear,1,Type_1,Karo,CBC
38,12,hears,1,Type_1,Karo,CBC
39,12,sac,1,Type_1,Karo,CBC
40,12,rac,0,Type_1,Karo,CBC
41,12,racs,0,Type_1,Karo,CBC
42,12,reals,1,Type_1,Karo,CBC
