,Group,Word,Validity,Condition,Participant_1,Participant_2
0,5,search,1,Type_0,Line,Sim
1,5,race,1,Type_0,Line,Sim
2,5,races,1,Type_0,Line,Sim
3,5,laser,1,Type_0,Line,Sim
4,5,case,1,Type_0,Line,Sim
5,5,car,1,Type_0,Line,Sim
6,5,cars,1,Type_0,Line,Sim
7,5,her,1,Type_0,Line,Sim
8,5,hers,1,Type_0,Line,Sim
9,5,arse,1,Type_0,Line,Sim
10,5,sale,1,Type_0,Line,Sim
11,5,scale,1,Type_0,Line,Sim
12,5,heal,1,Type_0,Line,Sim
13,5,heals,1,Type_0,Line,Sim
14,5,seal,1,Type_0,Line,Sim
15,5,chase,1,Type_0,Line,Sim
16,5,ace,1,Type_0,Line,Sim
17,5,aces,1,Type_0,Line,Sim
18,5,crash,1,Type_0,Line,Sim
19,5,lash,1,Type_0,Line,Sim
20,5,rash,1,Type_0,Line,Sim
21,5,cash,1,Type_0,Line,Sim
22,5,cr,0,Type_0,Line,Sim
23,5,racer,0,Type_0,Line,Sim
24,5,racers,0,Type_0,Line,Sim
25,5,as,1,Type_0,Line,Sim
26,5,ear,1,Type_0,Line,Sim
27,5,ears,1,Type_0,Line,Sim
28,5,are,1,Type_0,Line,Sim
29,5,hare,1,Type_0,Line,Sim
30,5,hares,1,Type_0,Line,Sim
